task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
302	68/62766c	53173354	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20240614_Astral_Neo6_TH026_AU25_DI_run69p2_H460_50SPD_F23)	COMPLETED	0	2026-06-21 18:33:59.802	15m 1s	13m 55s	1055.9%	16.4 GB	17.4 GB	5.6 GB	16.2 MB
263	fd/4b7125	53173303	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_L17)	COMPLETED	0	2026-06-21 18:33:55.910	15m 10s	14m 4s	1022.2%	15.7 GB	16.7 GB	4.7 GB	16.1 MB
201	4c/d38110	53173177	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_K21)	COMPLETED	0	2026-06-21 18:33:49.602	15m 41s	14m 37s	1049.6%	14.9 GB	15.7 GB	4.5 GB	15 MB
216	8d/de3cd7	53173209	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_K19)	COMPLETED	0	2026-06-21 18:33:51.212	15m 45s	14m 39s	1056.1%	15.6 GB	16.3 GB	4.6 GB	17.6 MB
230	9b/eea37b	53173237	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_J19)	COMPLETED	0	2026-06-21 18:33:52.603	16m 3s	14m 56s	1024.9%	16.3 GB	17.2 GB	4.6 GB	14.4 MB
210	00/d403b5	53173195	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_J20)	COMPLETED	0	2026-06-21 18:33:50.503	16m 11s	15m 3s	810.2%	15.2 GB	16 GB	4.5 GB	16.7 MB
232	e4/7d4b8f	53173241	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_M21)	COMPLETED	0	2026-06-21 18:33:52.807	16m 28s	15m 20s	1024.9%	15.1 GB	16 GB	4.6 GB	12.4 MB
264	ab/abe91c	53173304	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_L21)	COMPLETED	0	2026-06-21 18:33:56.170	17m 10s	16m 3s	1044.0%	14.8 GB	15.6 GB	4.5 GB	13.4 MB
200	c8/dbb55a	53173175	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_J21)	COMPLETED	0	2026-06-21 18:33:49.501	17m 27s	16m 22s	1064.2%	15.3 GB	16.3 GB	4.5 GB	13.7 MB
231	e5/6e4755	53173239	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_K16)	COMPLETED	0	2026-06-21 18:33:52.701	17m 23s	16m 16s	1039.0%	15.5 GB	16.3 GB	4.6 GB	21 MB
